"","Terms","Docs","value","category"
"149","adoring","Cluster1",0.00934579439252336,"0.25"
"150","adorn","Cluster1",0,"0.25"
"151","advance","Cluster1",0.0841121495327103,"0.25"
"152","advanced","Cluster1",0.0280373831775701,"0.25"
"153","advancement","Cluster1",0.0467289719626168,"0.25"
"154","advances","Cluster1",0.00934579439252336,"0.25"
"155","advancewhile","Cluster1",0,"0.25"
"156","advancing","Cluster1",0.00934579439252336,"0.25"
"157","advantage","Cluster1",0.0186915887850467,"0.25"
"158","advantageous","Cluster1",0.00934579439252336,"0.25"
"159","advantageously","Cluster1",0,"0.25"
"160","advantages","Cluster1",0.00934579439252336,"0.25"
"161","adventure","Cluster1",0,"0.25"
"162","adventureone","Cluster1",0,"0.25"
"163","adversaries","Cluster1",0,"0.25"
"164","adversary","Cluster1",0,"0.25"
"165","adverse","Cluster1",0,"0.25"
"166","advice","Cluster1",0,"0.25"
"167","advisable","Cluster1",0.0186915887850467,"0.25"
"168","advisers","Cluster1",0.00934579439252336,"0.25"
"169","advisory","Cluster1",0.00934579439252336,"0.25"
"170","advocacy","Cluster1",0.00934579439252336,"0.25"
"171","advocated","Cluster1",0.00934579439252336,"0.25"
"172","advocates","Cluster1",0,"0.25"
"173","aegis","Cluster1",0.00934579439252336,"0.25"
"174","affairs","Cluster1",0.0560747663551402,"0.25"
"175","affairsi","Cluster1",0,"0.25"
"176","affairsno","Cluster1",0.00934579439252336,"0.25"
"177","affect","Cluster1",0.00934579439252336,"0.25"
"178","affected","Cluster1",0.0186915887850467,"0.25"
"179","affecting","Cluster1",0.0280373831775701,"0.25"
"180","affection","Cluster1",0.0280373831775701,"0.25"
"181","affectionate","Cluster1",0,"0.25"
"182","affections","Cluster1",0,"0.25"
"183","affectionsthat","Cluster1",0.00934579439252336,"0.25"
"184","affirm","Cluster1",0.00934579439252336,"0.25"
"185","affirmation","Cluster1",0,"0.25"
"186","affirmations","Cluster1",0.00934579439252336,"0.25"
"187","affirmed","Cluster1",0.0186915887850467,"0.25"
"188","affirms","Cluster1",0,"0.25"
"189","affliction","Cluster1",0,"0.25"
"190","afford","Cluster1",0.0560747663551402,"0.25"
"191","afforded","Cluster1",0.00934579439252336,"0.25"
"192","affording","Cluster1",0,"0.25"
"193","afghanistan","Cluster1",0,"0.25"
"194","afraid","Cluster1",0,"0.25"
"195","africa","Cluster1",0,"0.25"
"196","african","Cluster1",0,"0.25"
"197","africanamericans","Cluster1",0,"0.25"
"198","after","Cluster1",0,"0.25"
"199","again","Cluster1",0,"0.25"
"200","againand","Cluster1",0,"0.25"
"201","againbut","Cluster1",0,"0.25"
"202","againnot","Cluster1",0,"0.25"
"203","againwe","Cluster1",0,"0.25"
"204","againyour","Cluster1",0,"0.25"
"205","aged","Cluster1",0,"0.25"
"206","agencies","Cluster1",0.0467289719626168,"0.25"
"207","agency","Cluster1",0,"0.25"
"208","agent","Cluster1",0,"0.25"
"209","agents","Cluster1",0.0186915887850467,"0.25"
"210","ages","Cluster1",0.00934579439252336,"0.25"
"211","aggrandizement","Cluster1",0,"0.25"
"212","aggravated","Cluster1",0,"0.25"
"213","aggravation","Cluster1",0,"0.25"
"214","aggregate","Cluster1",0,"0.25"
"215","aggression","Cluster1",0,"0.25"
"216","aggressionour","Cluster1",0,"0.25"
"217","aggressor","Cluster1",0,"0.25"
"218","aggressors","Cluster1",0.0186915887850467,"0.25"
"219","agitate","Cluster1",0.00934579439252336,"0.25"
"220","agitating","Cluster1",0.00934579439252336,"0.25"
"221","agitation","Cluster1",0.00934579439252336,"0.25"
"222","agoi","Cluster1",0,"0.25"
"223","agonizing","Cluster1",0.00934579439252336,"0.25"
"224","agony","Cluster1",0,"0.25"
"225","agothe","Cluster1",0.00934579439252336,"0.25"
"226","agree","Cluster1",0,"0.25"
"227","agreeably","Cluster1",0,"0.25"
"228","agreed","Cluster1",0,"0.25"
"229","agreement","Cluster1",0,"0.25"
"230","agreements","Cluster1",0,"0.25"
"231","agricultural","Cluster1",0.0186915887850467,"0.25"
"232","agriculture","Cluster1",0.0560747663551402,"0.25"
"233","ahead","Cluster1",0,"0.25"
"234","aheadtrue","Cluster1",0,"0.25"
"235","aided","Cluster1",0.0186915887850467,"0.25"
"236","aids","Cluster1",0,"0.25"
"237","aidthe","Cluster1",0,"0.25"
"238","aimed","Cluster1",0,"0.25"
"239","aims","Cluster1",0,"0.25"
"240","airports","Cluster1",0,"0.25"
"241","alamo","Cluster1",0,"0.25"
"242","alarm","Cluster1",0.0373831775700935,"0.25"
"243","alarmed","Cluster1",0,"0.25"
"244","alert","Cluster1",0.00934579439252336,"0.25"
"245","alien","Cluster1",0,"0.25"
"246","alienate","Cluster1",0,"0.25"
"247","alienation","Cluster1",0,"0.25"
"248","aliens","Cluster1",0.0373831775700935,"0.25"
"249","alike","Cluster1",0.0186915887850467,"0.25"
"250","alikethose","Cluster1",0.00934579439252336,"0.25"
"251","alive","Cluster1",0.00934579439252336,"0.25"
"252","allayed","Cluster1",0,"0.25"
"253","allegation","Cluster1",0.00934579439252336,"0.25"
"254","allegations","Cluster1",0.00934579439252336,"0.25"
"255","alleged","Cluster1",0.00934579439252336,"0.25"
"256","allegiance","Cluster1",0,"0.25"
"257","alleviate","Cluster1",0,"0.25"
"258","alliance","Cluster1",0,"0.25"
"259","alliances","Cluster1",0.00934579439252336,"0.25"
"260","allied","Cluster1",0,"0.25"
"261","allies","Cluster1",0,"0.25"
"262","allocating","Cluster1",0,"0.25"
"263","allor","Cluster1",0,"0.25"
"264","allotted","Cluster1",0,"0.25"
"265","allow","Cluster1",0.00934579439252336,"0.25"
"266","allowed","Cluster1",0.00934579439252336,"0.25"
"267","allowing","Cluster1",0,"0.25"
"268","allows","Cluster1",0.00934579439252336,"0.25"
"269","allrelying","Cluster1",0.00934579439252336,"0.25"
"270","allude","Cluster1",0,"0.25"
"271","alluring","Cluster1",0.00934579439252336,"0.25"
"272","allusion","Cluster1",0,"0.25"
"273","ally","Cluster1",0,"0.25"
"274","almighty","Cluster1",0.0654205607476635,"0.25"
"275","almost","Cluster1",0.00934579439252336,"0.25"
"276","alone","Cluster1",0.0747663551401869,"0.25"
"277","along","Cluster1",0.00934579439252336,"0.25"
"278","alongside","Cluster1",0,"0.25"
"279","already","Cluster1",0.0467289719626168,"0.25"
"280","altarbrightens","Cluster1",0,"0.25"
"281","alter","Cluster1",0,"0.25"
"282","alteration","Cluster1",0,"0.25"
"283","altercation","Cluster1",0,"0.25"
"284","altered","Cluster1",0,"0.25"
"285","alternative","Cluster1",0.00934579439252336,"0.25"
"286","although","Cluster1",0.00934579439252336,"0.25"
"287","altogether","Cluster1",0.00934579439252336,"0.25"
"288","altogetherwith","Cluster1",0.00934579439252336,"0.25"
"289","always","Cluster1",0.0747663551401869,"0.25"
"290","amalgamated","Cluster1",0.00934579439252336,"0.25"
"291","amass","Cluster1",0,"0.25"
"292","ambition","Cluster1",0,"0.25"
"293","ambitionpersonally","Cluster1",0.00934579439252336,"0.25"
"294","ambitions","Cluster1",0,"0.25"
"295","ambitious","Cluster1",0,"0.25"
"296","amen","Cluster1",0,"0.25"
"297","amendatory","Cluster1",0,"0.25"
"298","amended","Cluster1",0.0186915887850467,"0.25"
"299","amending","Cluster1",0.00934579439252336,"0.25"
"300","amendment","Cluster1",0.158878504672897,"0.25"
"301","amendmentof","Cluster1",0.00934579439252336,"0.25"
"302","amendments","Cluster1",0.0560747663551402,"0.25"
"303","america","Cluster1",0.102803738317757,"0.25"
"304","americaamong","Cluster1",0,"0.25"
"305","americaan","Cluster1",0,"0.25"
"306","americain","Cluster1",0,"0.25"
"307","american","Cluster1",0.177570093457944,"0.25"
"308","americanis","Cluster1",0,"0.25"
"309","americans","Cluster1",0.00934579439252336,"0.25"
"310","americansand","Cluster1",0,"0.25"
"311","americansborn","Cluster1",0,"0.25"
"312","americansfor","Cluster1",0,"0.25"
"313","americansgod","Cluster1",0,"0.25"
"314","americanwe","Cluster1",0,"0.25"
"315","americaprevious","Cluster1",0,"0.25"
"316","americas","Cluster1",0,"0.25"
"317","americathe","Cluster1",0,"0.25"
"318","americato","Cluster1",0,"0.25"
"319","americawe","Cluster1",0,"0.25"
"320","amiable","Cluster1",0,"0.25"
"321","amicable","Cluster1",0.00934579439252336,"0.25"
